subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
89,1089,0.9999,0.9987338931126013,0.9999,0.8066020771264669,True,0.4376981937512626,0.1402824599918103,3.731238502919723,0.44249794365734835,0,1.127255918103825,0.9457339293199115,0.25346381063013457
90,1090,0.9999,0.9999,0.9999,0.8670973580109175,True,0.4675349621148105,0.1432104216675973,3.7753055546458145,0.4618046193124725,0,1.172974835217561,0.947410105402311,0.25094925210396474
91,1091,0.9999,0.9999,0.9999,0.8179597000876738,True,0.41575490064290305,0.15127511001444513,4.022552383839722,0.45295144090521644,0,1.1489612974640147,0.9770684300595999,0.24289762738327364
92,1092,0.9999,0.9999,0.9999,0.8379895776337818,True,0.5435485415257582,0.1405984321823041,3.8461779953618094,0.4498828241593064,0,1.2073477330683715,0.9527229840160618,0.24770642054657155
93,1093,0.9999,0.9999,0.9999,0.8318019054376866,True,0.4836335645242249,0.14774512894735664,4.201145969589193,0.46667104237540263,0,1.2138795346649156,1.0509721750052314,0.2501632132310795
94,1094,0.9999,0.9312078982513095,0.9999,0.7756182628586429,True,0.4214106746423459,0.13869276012322881,3.8238536974539508,0.46774711905669597,0,1.121866618393733,0.9293797142816149,0.24304792699062386
95,1095,0.9999,0.9999,0.9999,0.8367710747099149,True,0.4500000737804261,0.15633064150144685,4.1542268985959865,0.4769489158435045,0,1.2108697016914767,1.022950681567908,0.24624333396753964
96,1096,0.9999,0.967256711012663,0.9999,0.8055757090020378,True,0.3935729022099211,0.13275852203245198,3.815722966624051,0.4488124087690008,0,1.1229925368431475,0.9282100595267111,0.24325928995519872
97,1097,0.9999,0.9999,0.9999,0.8110310064071566,True,0.5184542889799522,0.15241397053051614,3.7395440773230253,0.45703742281227044,0,1.1529563781437753,0.9405914303998155,0.25152569697029575
98,1098,0.9999,0.971373945177874,0.9999,0.8057441595806037,True,0.39988610899677035,0.14518757770685303,4.2337666199321875,0.49271635041514483,0,1.1763718913758274,1.0400262455119047,0.2456503484664355
99,1099,0.9999,0.9551868753088391,0.9999,0.783934416904655,True,0.3771539168717756,0.13179479311146763,3.413549086062624,0.4304408024745568,0,1.0773120046861313,0.8783966288610108,0.2573264970606302
