Seed,Subject,Model,Network,Jaccard
628,1,BS-NET (2m),Control,0.7857142857142857
628,1,BS-NET (2m),Default Mode,0.9411764705882353
628,2,Raw FC (2m),Visual,0.9333333333333333
628,2,Raw FC (2m),Somatomotor,1.0
628,2,Raw FC (2m),Dorsal Attn,0.9285714285714286
628,2,Raw FC (2m),Ventral Attn,0.5
628,2,Raw FC (2m),Limbic,0.5
628,2,Raw FC (2m),Control,0.9333333333333333
628,2,Raw FC (2m),Default Mode,0.9375
628,2,BS-NET (2m),Visual,0.9333333333333333
628,2,BS-NET (2m),Somatomotor,1.0
628,2,BS-NET (2m),Dorsal Attn,0.9285714285714286
628,2,BS-NET (2m),Ventral Attn,0.5
628,2,BS-NET (2m),Limbic,0.5
628,2,BS-NET (2m),Control,0.9333333333333333
628,2,BS-NET (2m),Default Mode,0.9375
628,3,Raw FC (2m),Visual,0.9333333333333333
628,3,Raw FC (2m),Somatomotor,0.5
628,3,Raw FC (2m),Dorsal Attn,0.8571428571428571
628,3,Raw FC (2m),Ventral Attn,0.4482758620689655
628,3,Raw FC (2m),Limbic,0.9333333333333333
628,3,Raw FC (2m),Control,1.0
628,3,Raw FC (2m),Default Mode,1.0
628,3,BS-NET (2m),Visual,0.9333333333333333
628,3,BS-NET (2m),Somatomotor,0.5
628,3,BS-NET (2m),Dorsal Attn,0.8571428571428571
628,3,BS-NET (2m),Ventral Attn,0.4482758620689655
628,3,BS-NET (2m),Limbic,0.9333333333333333
628,3,BS-NET (2m),Control,1.0
628,3,BS-NET (2m),Default Mode,1.0
628,4,Raw FC (2m),Visual,0.8571428571428571
628,4,Raw FC (2m),Somatomotor,0.8571428571428571
628,4,Raw FC (2m),Dorsal Attn,0.875
628,4,Raw FC (2m),Ventral Attn,0.9333333333333333
628,4,Raw FC (2m),Limbic,0.8571428571428571
628,4,Raw FC (2m),Control,0.42424242424242425
628,4,Raw FC (2m),Default Mode,0.4411764705882353
628,4,BS-NET (2m),Visual,0.8571428571428571
628,4,BS-NET (2m),Somatomotor,0.9285714285714286
628,4,BS-NET (2m),Dorsal Attn,0.5185185185185185
628,4,BS-NET (2m),Ventral Attn,0.9333333333333333
628,4,BS-NET (2m),Limbic,0.41379310344827586
628,4,BS-NET (2m),Control,0.42424242424242425
628,4,BS-NET (2m),Default Mode,0.4411764705882353
1414,0,Raw FC (2m),Visual,0.5
1414,0,Raw FC (2m),Somatomotor,0.9333333333333333
1414,0,Raw FC (2m),Dorsal Attn,0.8571428571428571
1414,0,Raw FC (2m),Ventral Attn,0.6428571428571429
1414,0,Raw FC (2m),Limbic,1.0
1414,0,Raw FC (2m),Control,0.6363636363636364
1414,0,Raw FC (2m),Default Mode,0.375
1414,0,BS-NET (2m),Visual,0.42424242424242425
1414,0,BS-NET (2m),Somatomotor,0.5833333333333334
1414,0,BS-NET (2m),Dorsal Attn,0.8571428571428571
1414,0,BS-NET (2m),Ventral Attn,0.35714285714285715
1414,0,BS-NET (2m),Limbic,1.0
1414,0,BS-NET (2m),Control,0.7222222222222222
1414,0,BS-NET (2m),Default Mode,0.48484848484848486
1414,1,Raw FC (2m),Visual,0.9333333333333333
1414,1,Raw FC (2m),Somatomotor,0.9333333333333333
1414,1,Raw FC (2m),Dorsal Attn,1.0
1414,1,Raw FC (2m),Ventral Attn,0.5185185185185185
1414,1,Raw FC (2m),Limbic,0.4642857142857143
1414,1,Raw FC (2m),Control,1.0
1414,1,Raw FC (2m),Default Mode,0.9375
1414,1,BS-NET (2m),Visual,0.9333333333333333
1414,1,BS-NET (2m),Somatomotor,0.9333333333333333
1414,1,BS-NET (2m),Dorsal Attn,1.0
1414,1,BS-NET (2m),Ventral Attn,0.5185185185185185
1414,1,BS-NET (2m),Limbic,0.4642857142857143
1414,1,BS-NET (2m),Control,1.0
1414,1,BS-NET (2m),Default Mode,0.9375
1414,2,Raw FC (2m),Visual,0.9333333333333333
1414,2,Raw FC (2m),Somatomotor,0.8
1414,2,Raw FC (2m),Dorsal Attn,0.7142857142857143
1414,2,Raw FC (2m),Ventral Attn,0.8
1414,2,Raw FC (2m),Limbic,0.875
1414,2,Raw FC (2m),Control,0.9333333333333333
1414,2,Raw FC (2m),Default Mode,0.8888888888888888
1414,2,BS-NET (2m),Visual,0.9333333333333333
1414,2,BS-NET (2m),Somatomotor,0.8
1414,2,BS-NET (2m),Dorsal Attn,0.7142857142857143
1414,2,BS-NET (2m),Ventral Attn,0.8
1414,2,BS-NET (2m),Limbic,0.875
1414,2,BS-NET (2m),Control,0.9333333333333333
1414,2,BS-NET (2m),Default Mode,0.8888888888888888
1414,3,Raw FC (2m),Visual,1.0
